支付宝交易记录明细查询
账号:[13588023986]
起始日期:[2021-05-31 00:00:00]    终止日期:[2021-06-14 21:45:56]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2021061422001413481413183892	,21061411100400000024489658008609	,2021-06-14 18:23:57 ,2021-06-14 18:23:58 ,2021-06-14 18:23:58 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,美团              ,美团订单-21061411100400000024489658008609,58.20   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021061422001413481413252332	,21210614120545034722	,2021-06-14 12:05:46 ,2021-06-14 12:05:47 ,2021-06-14 12:05:47 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,舞东风超市(龙腾苑分店)    ,1152龙腾苑分店-条码支付      ,3.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20210612786754614805 	,202106121100300705340695792789	,2021-06-14 08:30:31 ,2021-06-14 08:30:30 ,2021-06-12 23:05:32 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,蚂蚁会员（北京）网络技术服务有限公司,相互宝分摊-6月第1期-*世文     ,6.51    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20210614347072137481 	,                    	,2021-06-14 05:09:37 ,                    ,2021-06-14 05:09:37 ,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2021.06.13-收益发放 ,0.14    ,        ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021061322001413481412636078	,21061311100400000024428960381609	,2021-06-13 23:34:20 ,2021-06-13 23:34:21 ,2021-06-13 23:34:21 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,美团              ,美团订单-曹操出行           ,7.43    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021061322001413481412306501	,1020210613232839860548	,2021-06-13 23:28:39 ,2021-06-13 23:28:40 ,2021-06-13 23:28:40 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,成都金控数据服务有限公司    ,天府通扫码乘车             ,8.10    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021061322001113481412838386	,T200P1872197823269847864	,2021-06-13 23:10:33 ,2021-06-13 23:10:40 ,2021-06-13 23:10:40 ,淘宝        ,支付宝担保交易         ,米客尚旗舰店          ,户外春郊游野餐垫草坪露营野炊地垫加厚便携野餐布防水帐篷防潮垫,49.00   ,支出      ,等待对方发货  ,0.00     ,0.00     ,                    ,已支出      ,
2021061322001113481412656932	,T200P1871193997925847864	,2021-06-13 22:14:14 ,2021-06-13 22:14:18 ,2021-06-14 00:01:07 ,淘宝        ,支付宝担保交易         ,天猫超市            ,活力28薰衣草香氛洗衣液1.5kg*1瓶深层洁净去污机洗手洗香味持久,0.00    ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2021061322001413481412421461	,21061311100400000024396583371609	,2021-06-13 17:46:45 ,2021-06-13 17:46:46 ,2021-06-13 17:46:46 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,美团              ,美团订单-大象经济型          ,7.80    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021061322001413481412421459	,2916660000485958402021061312271000000003649268656	,2021-06-13 12:27:15 ,2021-06-13 12:27:16 ,2021-06-13 12:27:16 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴顺风车           ,支付-顺风车车费            ,49.20   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
